Event,Division,Day,Time,Field #,Field,Stage,Game Type,Team,Opponent,Rules,Fouls,Fair,Positive,Com,Our
2013 ECBU,A-M,2013-06-30,14:00,,,,,Switzerland,Great Britain,3,2,3,3,2,
2013 ECBU,A-M,2013-06-30,14:00,,,,,Great Britain,Switzerland,3,3,4,4,3,
2013 ECBU,A-M,2013-06-30,11:00,,,,,United European Islands,Portugal,2,2,3,3,2,
2013 ECBU,A-M,2013-06-30,11:00,,,,,Portugal,United European Islands,2,2,3,3,2,
2013 ECBU,A-M,2013-06-30,11:00,,,,,Ukraine,Germany,2,2,2,2,2,
2013 ECBU,A-M,2013-06-30,11:00,,,,,Germany,Ukraine,2,2,2,3,2,
2013 ECBU,A-M,2013-06-30,11:00,,,,,Belgium,Spain,1,2,3,3,2,
2013 ECBU,A-M,2013-06-30,11:00,,,,,Spain,Belgium,2,3,2,1,2,
2013 ECBU,A-M,2013-06-30,11:00,,,,,France,Russia,2,3,3,2,2,
2013 ECBU,A-M,2013-06-30,11:00,,,,,Russia,France,2,2,2,3,1,
2013 ECBU,A-M,2013-06-30,11:00,,,,,Poland,Denmark,2,3,2,3,2,
2013 ECBU,A-M,2013-06-30,11:00,,,,,Denmark,Poland,2,1,3,2,2,
2013 ECBU,A-M,2013-06-30,11:00,,,,,Italy,Latvia,1,2,2,2,2,
2013 ECBU,A-M,2013-06-30,11:00,,,,,Latvia,Italy,2,2,3,2,2,
2013 ECBU,A-M,2013-06-30,11:00,,,,,Hungary,Ireland,2,2,2,3,3,
2013 ECBU,A-M,2013-06-30,11:00,,,,,Ireland,Hungary,2,1,3,1,2,
2013 ECBU,A-M,2013-06-29,16:00,,,,,Ukraine,Switzerland,2,1,2,1,2,
2013 ECBU,A-M,2013-06-29,16:00,,,,,Switzerland,Ukraine,1,2,1,2,2,
2013 ECBU,A-M,2013-06-29,16:00,,,,,Great Britain,Germany,3,2,3,4,2,
2013 ECBU,A-M,2013-06-29,16:00,,,,,Germany,Great Britain,1,3,2,3,2,
2013 ECBU,A-M,2013-06-29,15:00,,,,,Spain,France,2,3,2,3,2,
2013 ECBU,A-M,2013-06-29,15:00,,,,,France,Spain,2,3,3,2,2,
2013 ECBU,A-M,2013-06-29,15:00,,,,,Belgium,Russia,3,3,2,3,2,
2013 ECBU,A-M,2013-06-29,15:00,,,,,Russia,Belgium,1,2,1,1,1,
2013 ECBU,A-M,2013-06-29,13:00,,,,,Latvia,Denmark,3,2,4,3,2,
2013 ECBU,A-M,2013-06-29,13:00,,,,,Denmark,Latvia,2,2,3,3,2,
2013 ECBU,A-M,2013-06-29,13:00,,,,,Italy,Poland,1,2,2,2,2,
2013 ECBU,A-M,2013-06-29,13:00,,,,,Poland,Italy,2,3,2,2,2,
2013 ECBU,A-M,2013-06-29,13:00,,,,,United European Islands,Ireland,2,2,2,3,2,
2013 ECBU,A-M,2013-06-29,13:00,,,,,Ireland,United European Islands,2,2,3,3,2,
2013 ECBU,A-M,2013-06-29,13:00,,,,,Portugal,Hungary,1,2,3,3,2,
2013 ECBU,A-M,2013-06-29,13:00,,,,,Hungary,Portugal,2,2,3,2,2,
2013 ECBU,A-M,2013-06-29,10:00,,,,,Switzerland,France,2,2,3,2,2,
2013 ECBU,A-M,2013-06-29,10:00,,,,,France,Switzerland,2,2,3,3,2,
2013 ECBU,A-M,2013-06-29,10:00,,,,,Ukraine,Spain,2,1,2,2,2,
2013 ECBU,A-M,2013-06-29,10:00,,,,,Spain,Ukraine,0,0,0,1,1,
2013 ECBU,A-M,2013-06-29,10:00,,,,,Germany,Russia,2,2,2,2,2,
2013 ECBU,A-M,2013-06-29,10:00,,,,,Russia,Germany,3,3,4,4,2,
2013 ECBU,A-M,2013-06-29,10:00,,,,,Belgium,Great Britain,3,1,2,3,1,
2013 ECBU,A-M,2013-06-29,10:00,,,,,Great Britain,Belgium,1,3,2,3,2,
2013 ECBU,A-M,2013-06-29,10:00,,,,,Latvia,Ireland,2,3,2,3,2,
2013 ECBU,A-M,2013-06-29,10:00,,,,,Ireland,Latvia,2,1,3,2,3,
2013 ECBU,A-M,2013-06-29,10:00,,,,,United European Islands,Denmark,2,2,3,3,2,
2013 ECBU,A-M,2013-06-29,10:00,,,,,Denmark,United European Islands,2,3,3,3,2,
2013 ECBU,A-M,2013-06-29,10:00,,,,,Poland,Hungary,2,3,2,3,2,
2013 ECBU,A-M,2013-06-29,10:00,,,,,Hungary,Poland,2,1,2,1,1,
2013 ECBU,A-M,2013-06-29,10:00,,,,,Italy,Portugal,2,2,2,2,2,
2013 ECBU,A-M,2013-06-29,10:00,,,,,Portugal,Italy,2,2,3,2,2,
2013 ECBU,A-M,2013-06-28,18:00,,,,,Portugal,Great Britain,2,1,2,3,2,
2013 ECBU,A-M,2013-06-28,18:00,,,,,Great Britain,Portugal,2,2,2,2,2,
2013 ECBU,A-M,2013-06-28,18:00,,,,,Italy,Belgium,2,2,2,2,2,
2013 ECBU,A-M,2013-06-28,18:00,,,,,Belgium,Italy,3,2,3,3,3,
2013 ECBU,A-M,2013-06-28,18:00,,,,,Spain,Denmark,2,1,1,2,2,
2013 ECBU,A-M,2013-06-28,18:00,,,,,Denmark,Spain,1,2,0,2,1,
2013 ECBU,A-M,2013-06-28,18:00,,,,,United European Islands,Ukraine,1,1,0,1,1,
2013 ECBU,A-M,2013-06-28,18:00,,,,,Ukraine,United European Islands,2,2,2,3,3,
2013 ECBU,A-M,2013-06-28,17:00,,,,,Latvia,France,2,1,1,2,2,
2013 ECBU,A-M,2013-06-28,17:00,,,,,France,Latvia,1,2,0,1,1,
2013 ECBU,A-M,2013-06-28,17:00,,,,,Hungary,Russia,2,1,2,2,1,
2013 ECBU,A-M,2013-06-28,17:00,,,,,Russia,Hungary,2,2,3,2,2,
2013 ECBU,A-M,2013-06-28,17:00,,,,,Poland,Germany,2,2,1,2,1,
2013 ECBU,A-M,2013-06-28,17:00,,,,,Germany,Poland,2,2,2,3,3,
2013 ECBU,A-M,2013-06-28,17:00,,,,,Switzerland,Ireland,2,2,2,3,2,
2013 ECBU,A-M,2013-06-28,17:00,,,,,Ireland,Switzerland,2,3,2,3,3,
2013 ECBU,A-M,2013-06-28,14:00,,,,,Hungary,Ireland,2,2,2,2,2,
2013 ECBU,A-M,2013-06-28,14:00,,,,,Ireland,Hungary,2,3,2,4,2,
2013 ECBU,A-M,2013-06-28,14:00,,,,,Switzerland,Russia,2,2,3,3,2,
2013 ECBU,A-M,2013-06-28,14:00,,,,,Russia,Switzerland,3,3,3,3,3,
2013 ECBU,A-M,2013-06-28,14:00,,,,,Germany,France,1,2,3,2,2,
2013 ECBU,A-M,2013-06-28,14:00,,,,,France,Germany,2,2,3,2,2,
2013 ECBU,A-M,2013-06-28,14:00,,,,,Belgium,Denmark,1,2,3,1,2,
2013 ECBU,A-M,2013-06-28,14:00,,,,,Denmark,Belgium,1,2,2,2,1,
2013 ECBU,A-M,2013-06-28,14:00,,,,,United European Islands,Portugal,2,3,2,3,2,
2013 ECBU,A-M,2013-06-28,14:00,,,,,Portugal,United European Islands,2,2,2,2,2,
2013 ECBU,A-M,2013-06-28,14:00,,,,,Ukraine,Great Britain,2,1,2,2,2,
2013 ECBU,A-M,2013-06-28,14:00,,,,,Great Britain,Ukraine,1,3,2,2,1,
2013 ECBU,A-M,2013-06-28,14:00,,,,,Italy,Spain,2,1,2,2,2,
2013 ECBU,A-M,2013-06-28,14:00,,,,,Spain,Italy,2,2,2,2,2,
2013 ECBU,A-M,2013-06-28,14:00,,,,,Poland,Latvia,2,2,2,2,2,
2013 ECBU,A-M,2013-06-28,14:00,,,,,Latvia,Poland,2,3,3,2,2,
2013 ECBU,A-M,2013-06-28,11:00,,,,,Germany,Denmark,2,2,2,3,2,
2013 ECBU,A-M,2013-06-28,11:00,,,,,Denmark,Germany,2,3,2,3,2,
2013 ECBU,A-M,2013-06-28,11:00,,,,,Italy,Ukraine,3,2,2,3,2,
2013 ECBU,A-M,2013-06-28,11:00,,,,,Ukraine,Italy,2,2,2,2,2,
2013 ECBU,A-M,2013-06-28,11:00,,,,,United European Islands,Russia,2,2,3,2,2,
2013 ECBU,A-M,2013-06-28,11:00,,,,,Russia,United European Islands,2,2,3,3,2,
2013 ECBU,A-M,2013-06-28,11:00,,,,,Belgium,Portugal,1,3,2,3,1,
2013 ECBU,A-M,2013-06-28,11:00,,,,,Portugal,Belgium,2,2,2,3,2,
2013 ECBU,A-M,2013-06-28,11:00,,,,,Switzerland,France,2,2,3,2,2,
2013 ECBU,A-M,2013-06-28,11:00,,,,,France,Switzerland,2,2,2,2,3,
2013 ECBU,A-M,2013-06-28,11:00,,,,,Poland,Ireland,3,2,3,3,3,
2013 ECBU,A-M,2013-06-28,11:00,,,,,Ireland,Poland,1,2,3,2,2,
2013 ECBU,A-M,2013-06-28,11:00,,,,,Hungary,Latvia,1,2,2,3,2,
2013 ECBU,A-M,2013-06-28,11:00,,,,,Latvia,Hungary,2,1,2,3,2,
2013 ECBU,A-M,2013-06-28,11:00,,,,,Great Britain,Spain,2,1,2,4,1,
2013 ECBU,A-M,2013-06-28,11:00,,,,,Spain,Great Britain,3,1,2,2,2,
2013 ECBU,A-M,2013-06-27,17:00,,,,,United European Islands,Denmark,2,2,3,2,2,
2013 ECBU,A-M,2013-06-27,17:00,,,,,Denmark,United European Islands,2,2,2,2,2,
2013 ECBU,A-M,2013-06-27,17:00,,,,,Portugal,France,1,1,2,2,1,
2013 ECBU,A-M,2013-06-27,17:00,,,,,France,Portugal,2,2,2,2,2,
2013 ECBU,A-M,2013-06-27,17:00,,,,,Hungary,Spain,2,2,2,3,3,
2013 ECBU,A-M,2013-06-27,17:00,,,,,Spain,Hungary,2,2,2,3,2,
2013 ECBU,A-M,2013-06-27,17:00,,,,,Ukraine,Ireland,2,3,3,3,2,
2013 ECBU,A-M,2013-06-27,17:00,,,,,Ireland,Ukraine,1,1,2,1,2,
2013 ECBU,A-M,2013-06-27,17:00,,,,,Italy,Poland,2,2,2,3,2,
2013 ECBU,A-M,2013-06-27,17:00,,,,,Poland,Italy,2,3,3,2,2,
2013 ECBU,A-M,2013-06-27,17:00,,,,,Great Britain,Latvia,2,3,2,2,1,
2013 ECBU,A-M,2013-06-27,17:00,,,,,Latvia,Great Britain,3,2,4,3,2,
2013 ECBU,A-M,2013-06-27,17:00,,,,,Belgium,Switzerland,3,3,2,3,2,
2013 ECBU,A-M,2013-06-27,17:00,,,,,Switzerland,Belgium,2,2,3,3,2,
2013 ECBU,A-M,2013-06-27,17:00,,,,,Germany,Russia,1,2,2,2,2,
2013 ECBU,A-M,2013-06-27,17:00,,,,,Russia,Germany,3,2,3,2,2,
2013 ECBU,A-M,2013-06-27,14:00,,,,,Latvia,Spain,2,2,3,2,3,
2013 ECBU,A-M,2013-06-27,14:00,,,,,Spain,Latvia,2,2,2,2,2,
2013 ECBU,A-M,2013-06-27,14:00,,,,,United European Islands,Germany,2,1,2,3,2,
2013 ECBU,A-M,2013-06-27,14:00,,,,,Germany,United European Islands,2,2,2,2,2,
2013 ECBU,A-M,2013-06-27,14:00,,,,,Ukraine,Poland,2,1,2,1,2,
2013 ECBU,A-M,2013-06-27,14:00,,,,,Poland,Ukraine,2,2,1,2,1,
